Data; Var_VALE3;Var_Baoshan_Iron ;Inflation_China;Var_China;Var_USD/BRL
01/09/2016;0.0514;0;0.013;-0.2369;0.01
01/08/2016;-0.0843;0;0.018;-0.0063;-0.0063
01/07/2016;0.1371;0;0.019;0.0811;0.0107
01/06/2016;0.1442;-0.0737;0.02;0.023;-0.1102
01/05/2016;-0.2778;-0.0503;0.023;-0.1963;0.051
01/04/2016;0.2997;0.061;0.023;0.2287;-0.0438
01/03/2016;0.2828;0.0355;0.023;0.1627;-0.1054
01/02/2016;0.215;-0.0269;0.018;0.1962;0.0046
01/01/2016;-0.254;-0.0663;0.016;-0.1222;0.0096
01/12/2015;-0.0106;0.0182;0.015;0.0496;0.0237
01/11/2015;-0.228;-0.0335;0.013;-0.2213;0.0029
01/10/2015;0.0496;0.0143;0.016;-0.1521;-0.0232
01/09/2015;-0.0748;-0.021;0.02;0.1674;0.0909
01/08/2015;0.0028;-0.1591;0.016;0.0762;0.058
01/07/2015;-0.023;-0.2231;0.014;-0.1844;0.1026
01/06/2015;-0.0878;0.0517;0.012;0.0833;-0.0242
01/05/2015;-0.1148;-0.0736;0.015;0.023;0.0547
01/04/2015;0.2757;0.2598;0.014;-0.1667;-0.0566
01/03/2015;-0.1558;0.0659;0.014;0.0786;0.1257
01/02/2015;0.1419;0.1246;0.008;-0.0078;0.0584
01/01/2015;-0.1506;-0.1526;0.015;-0.0339;0.0092
01/12/2014;-0.0597;0.3909;0.014;-0.0432;0.0358
01/11/2014;-0.068;0.1326;0.016;-0.0125;0.0352
